sourceDomain	sourceId	sourceTerm	certainty	review	omopDomainId	omopConceptId	omopConceptName	usedCount
urn:ordercomms:rtest:textual-result	Fungal elements resembling Malassezia furfur seen.	Fungal elements resembling Malassezia furfur seen.	0.255791592	1	Meas Value	4106082	Malassezia furfur	101
urn:ordercomms:rtest:textual-result	Candida krusei	Candida krusei	1	1	Meas Value	4297441	Candida krusei	100
urn:ordercomms:rtest:textual-result	Trichophyton mentagrophytes	Trichophyton mentagrophytes	1	1	Meas Value	4185703	Trichophyton mentagrophytes	100
urn:ordercomms:rtest:textual-result	Sphingomonas paucimobilis	Sphingomonas paucimobilis	1	1	Meas Value	4352637	Sphingomonas paucimobilis	98
urn:ordercomms:rtest:textual-result	No Growth after 48 hours	No Growth after 48 hours	0.304391656	1	Meas Value	4139623	No growth	97
urn:ordercomms:rtest:textual-result	Aeromonas hydrophila	Aeromonas hydrophila	1	1	Meas Value	4312105	Aeromonas hydrophila	95
urn:ordercomms:rtest:textual-result	Streptococcus agalactiae	Streptococcus agalactiae	0.560702315	1	Meas Value	44784149	Streptococcus agalactiae serotype V	95
urn:ordercomms:rtest:textual-result	Anaerobic Gram -ve bacillus	Anaerobic Gram -ve bacillus	0.470187057	1	Meas Value	4352643	Anaerobic Gram-negative bacillus	94
urn:ordercomms:rtest:textual-result	Neutrophils NOT seen.	Neutrophils NOT seen.	0.230199641	1	Meas Value	9190	Not detected	90
urn:ordercomms:rtest:textual-result	Enterococcus avium	Enterococcus avium	1	1	Meas Value	4338685	Enterococcus avium	78
urn:ordercomms:rtest:textual-result	Non-haemolytic Streptococcus	Non-haemolytic Streptococcus	0.491452372	1	Meas Value	4186422	Non-Beta-hemolytic Streptococcus	78
urn:ordercomms:rtest:textual-result	Streptococcus Group F	Streptococcus Group F	0.558273896	1	Meas Value	4307519	"Streptococcus, group F"	76
urn:ordercomms:rtest:textual-result	Citrobacter braakii	Citrobacter braakii	1	1	Meas Value	4016020	Citrobacter braakii	75
urn:ordercomms:rtest:textual-result	Candida tropicalis	Candida tropicalis	1	1	Meas Value	4172927	Candida tropicalis	71
urn:ordercomms:rtest:textual-result	Micrococcus luteus	Micrococcus luteus	1	1	Meas Value	4174810	Micrococcus luteus	71
urn:ordercomms:rtest:textual-result	Straw coloured	Straw coloured	0.533747596	1	Meas Value	763957	Straw color	71
urn:ordercomms:rtest:textual-result	Negative for M. tuberculosis complex.	Negative for M. tuberculosis complex.	0.178770066	1	Meas Value	9189	Negative	70
urn:ordercomms:rtest:textual-result	Proteus vulgaris	Proteus vulgaris	1	1	Meas Value	4164566	Proteus vulgaris	69
urn:ordercomms:rtest:textual-result	Lactobacillus sp.	Lactobacillus sp.	0.622035527	1	Meas Value	4185121	Lactobacillus	68
